Event,EventDate,OtherInstitutionName,OtherInstitutionID,Notes
Acquisition,3/31/2020,"RECONTRUST COMPANY, NATIONAL ASSOCIATION",3313943,"RECONTRUST COMPANY, NATIONAL ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,10/1/2014,"FIA CARD SERVICES, NATIONAL ASSOCIATION",1830035,"FIA CARD SERVICES, NATIONAL ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,4/1/2013,"BANK OF AMERICA OREGON, NATIONAL ASSOCIATION",2867056,"BANK OF AMERICA OREGON, NATIONAL ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,4/1/2013,"BANK OF AMERICA RHODE ISLAND, NATIONAL ASSOCIATION",3344611,"BANK OF AMERICA RHODE ISLAND, NATIONAL ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Address Changed,6/25/2012,,,"The address of BANK OF AMERICA, NATIONAL ASSOCIATION changed from 101 SOUTH TRYON STREET  to 100 NORTH TRYON STREET, SUITE 170 ."
Acquisition,7/1/2011,MERRILL LYNCH CREDIT CORPORATION,2496120,"MERRILL LYNCH CREDIT CORPORATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,7/1/2011,"BAC HOME LOANS SERVICING, LP",3035311,"BAC HOME LOANS SERVICING, LP transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,10/1/2010,MERRILL LYNCH COMMERCIAL FINANCE CORP.,3241493,"MERRILL LYNCH COMMERCIAL FINANCE CORP. transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,11/2/2009,"MERRILL LYNCH BANK & TRUST CO., FSB",2577494,"MERRILL LYNCH BANK & TRUST CO., FSB transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,7/1/2009,MERRILL LYNCH BANK USA,1225800,"MERRILL LYNCH BANK USA transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,4/27/2009,"COUNTRYWIDE BANK, FSB",1469211,"COUNTRYWIDE BANK, FSB transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,10/17/2008,LASALLE BANK MIDWEST NATIONAL ASSOCIATION,445843,"LASALLE BANK MIDWEST NATIONAL ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,10/17/2008,LASALLE BANK NATIONAL ASSOCIATION,455534,"LASALLE BANK NATIONAL ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,6/30/2008,"BANK OF AMERICA GEORGIA, NATIONAL ASSOCIATION",2962652,"BANK OF AMERICA GEORGIA, NATIONAL ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,5/30/2008,"USTRUST TECHNOLOGY AND SUPPORT SERVICES, INC.",3081149,"USTRUST TECHNOLOGY AND SUPPORT SERVICES, INC. transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,2/22/2008,"UNITED STATES TRUST COMPANY, NATIONAL ASSOCIATION",2333412,"UNITED STATES TRUST COMPANY, NATIONAL ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,9/22/2006,"MBNA AMERICA (DELAWARE), N.A.",2621379,"MBNA AMERICA (DELAWARE), N.A. transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,6/13/2005,FLEET NATIONAL BANK,76201,"FLEET NATIONAL BANK transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,6/30/2004,"BANK OF AMERICA TECHNOLOGY AND OPERATIONS, INC.",1102004,"BANK OF AMERICA TECHNOLOGY AND OPERATIONS, INC. transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,12/31/2003,FLEETWOOD CREDIT CORP.,1638709,"FLEETWOOD CREDIT CORP. transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,12/31/2003,"BANC OF AMERICA SPECIALITY FINANCE, INC.",2019220,"BANC OF AMERICA SPECIALITY FINANCE, INC. transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,12/31/2003,SEA RAY CREDIT CORPORATION,2033404,"SEA RAY CREDIT CORPORATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,12/31/2003,WINNEBAGO ACCEPTANCE CORPORATION,2033422,"WINNEBAGO ACCEPTANCE CORPORATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,4/15/2003,"BA MORTGAGE, LLC",2858625,"BA MORTGAGE, LLC transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,5/31/2001,NATIONSBANK TRUST COMPANY OF NEW YORK,2234386,"NATIONSBANK TRUST COMPANY OF NEW YORK transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,12/2/1999,"BANK OF AMERICA, FSB",5377,"BANK OF AMERICA, FSB transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Acquisition,7/23/1999,BANK OF AMERICA NATIONAL TRUST AND SAVINGS ASSOCIATION,349361,"BANK OF AMERICA NATIONAL TRUST AND SAVINGS ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
Name Changed,7/5/1999,,,"NATIONSBANK, N.A. changed to the new name BANK OF AMERICA, NATIONAL ASSOCIATION."
Address Changed,7/5/1999,,,"The address of BANK OF AMERICA, NATIONAL ASSOCIATION changed from ONE NCNB PLAZA  to 101 SOUTH TRYON STREET ."
Acquisition,4/9/1999,"BANK OF AMERICA TEXAS, N.A.",1858507,"BANK OF AMERICA TEXAS, N.A. transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,11/13/1998,"NATIONSBANK OF TENNESSEE, N.A.",116237,"NATIONSBANK OF TENNESSEE, N.A. transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,10/9/1998,"BARNETT BANK, NATIONAL ASSOCIATION",182232,"BARNETT BANK, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,10/9/1998,COMMUNITY BANK OF THE ISLANDS,1165269,"COMMUNITY BANK OF THE ISLANDS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,8/7/1998,"NATIONSBANK, NATIONAL ASSOCIATION (GLYNN COUNTY)",976879,"NATIONSBANK, NATIONAL ASSOCIATION (GLYNN COUNTY) transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,7/10/1998,"SUNWEST BANK OF EL PASO, NATIONAL ASSOCIATION",941158,"SUNWEST BANK OF EL PASO, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,7/10/1998,BOATMEN'S NATIONAL BANK OF AUSTIN,1216125,"BOATMEN'S NATIONAL BANK OF AUSTIN transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,5/7/1998,"NATIONSBANK OF TEXAS, N.A.",1213683,"NATIONSBANK OF TEXAS, N.A. transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,3/28/1998,BOATMEN'S TRUST COMPANY OF ARKANSAS,1838479,"BOATMEN'S TRUST COMPANY OF ARKANSAS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,3/13/1998,BOATMENS TRUST COMPANY,478757,"BOATMENS TRUST COMPANY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,3/13/1998,"BOATMEN'S TRUST COMPANY, AN OKLAHOMA TRUST COMPANY",2175797,"BOATMEN'S TRUST COMPANY, AN OKLAHOMA TRUST COMPANY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,1/23/1998,BOATMEN'S TRUST COMPANY OF ILLINOIS,1943953,"BOATMEN'S TRUST COMPANY OF ILLINOIS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,1/16/1998,"SUN WORLD, N.A.",41076,"SUN WORLD, N.A. transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
Acquisition,9/20/1997,BOATMEN'S TRUST COMPANY OF KANSAS,345952,"BOATMEN'S TRUST COMPANY OF KANSAS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
