RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
1,2961897,,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",Financial Holding Company - Foreign,TOKYO,JAPAN                                   
2,1129328,2961897,MITSUBISHI UFJ TRUST AND BANKING CORPORATION,Foreign Banking Organization,TOKYO,JAPAN                                   
3,1378434,2961897,MUFG AMERICAS HOLDINGS CORPORATION,Intermediate Holding Companies,NEW YORK,NY
4,2029283,1378434,MUFG AMERICAS LEASING CORPORATION,Domestic Entity Other,LOS ANGELES,CA
5,2432481,2029283,"MUFG AMERICAS CAPITAL LEASING & FINANCE, LLC",Domestic Entity Other,LOS ANGELES,CA
6,5012192,2432481,"WELLS FARGO TRUST COMPANY, NATIONAL ASSOCIATION, ACTING IN ITS CAPACITY AS OWNER TTEE UNDER TRUST AGMT AS OF 6/9/08",Domestic Entity Other,SALT LAKE CITY,UT
7,5013359,5012192,TEERA THANA PTE. LTD.,Foreign Entity Other,SINGAPORE,SINGAPORE                               
8,5012259,2432481,SAN LUIS SOLAR STATUTORY TRUST I,Domestic Entity Other,SALT LAKE CITY,UT
9,5166330,1378434,MUFG AMERICAS CAPITAL COMPANY,Domestic Entity Other,NEW YORK,NY
10,3955165,1378434,"MORGAN STANLEY MUFG LOAN PARTNERS, LLC",Domestic Entity Other,WILMINGTON,DE
11,1425374,1378434,"MUFG AMERICAS LEASING & FINANCE, INC.",Domestic Entity Other,NEW YORK,NY
12,4400233,1378434,UB LEASING CORPORATION,Domestic Entity Other,LOS ANGELES,CA
13,2155801,4400233,MUFG AMERICAS FUNDING CORPORATION,Domestic Entity Other,LOS ANGELES,CA
14,2155838,4400233,"U.B. VEHICLE LEASING, INC.",Domestic Entity Other,LOS ANGELES,CA
15,1024508,1378434,"UB OF CALIFORNIA LEASING, LLC",Finance Company,LOS ANGELES,CA
16,1345388,1378434,BANKERS COMMERCIAL CORPORATION,Finance Company,LOS ANGELES,CA
