"Year","Month","Payment","Principal","Interest","Balance","Total Interest","Total Principal"
"2008","October","$913.94","$135.48","$778.46","$146,282.52","$778.46","$135.48"
"2008","November","$913.94","$136.20","$777.74","$146,146.32","$1,556.19","$271.68"
"2008","December","$913.94","$136.93","$777.01","$146,009.39","$2,333.20","$408.61"
"2009","January","$913.93","$137.65","$776.28","$145,871.74","$3,109.49","$546.26"
"2009","February","$913.94","$138.39","$775.55","$145,733.35","$3,885.04","$684.65"
"2009","March","$913.94","$139.12","$774.82","$145,594.23","$4,659.85","$823.77"
"2009","April","$913.94","$139.86","$774.08","$145,454.37","$5,433.93","$963.63"
"2009","May","$913.93","$140.60","$773.33","$145,313.77","$6,207.26","$1,104.23"
"2009","June","$913.93","$141.35","$772.58","$145,172.42","$6,979.85","$1,245.58"
"2009","July","$913.93","$142.10","$771.83","$145,030.31","$7,751.68","$1,387.69"
"2009","August","$913.94","$142.86","$771.08","$144,887.45","$8,522.76","$1,530.55"
"2009","September","$913.94","$143.62","$770.32","$144,743.84","$9,293.08","$1,674.16"
"2009","October","$913.93","$144.38","$769.55","$144,599.45","$10,062.63","$1,818.55"
"2009","November","$913.94","$145.15","$768.79","$144,454.30","$10,831.42","$1,963.70"
"2009","December","$913.94","$145.92","$768.02","$144,308.38","$11,599.43","$2,109.62"
"2010","January","$913.94","$146.70","$767.24","$144,161.69","$12,366.67","$2,256.31"
"2010","February","$913.94","$147.48","$766.46","$144,014.21","$13,133.13","$2,403.79"
"2010","March","$913.94","$148.26","$765.68","$143,865.95","$13,898.81","$2,552.05"
"2010","April","$913.94","$149.05","$764.89","$143,716.90","$14,663.69","$2,701.10"
"2010","May","$913.93","$149.84","$764.09","$143,567.06","$15,427.79","$2,850.94"
"2010","June","$913.94","$150.64","$763.30","$143,416.42","$16,191.09","$3,001.58"
"2010","July","$913.94","$151.44","$762.50","$143,264.98","$16,953.58","$3,153.02"
"2010","August","$913.93","$152.24","$761.69","$143,112.73","$17,715.28","$3,305.27"
"2010","September","$913.93","$153.05","$760.88","$142,959.68","$18,476.16","$3,458.32"
"2010","October","$913.94","$153.87","$760.07","$142,805.81","$19,236.23","$3,612.19"
"2010","November","$913.94","$154.69","$759.25","$142,651.13","$19,995.48","$3,766.87"
