Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",2737188000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",2377362000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",1958413000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1887792000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",925362000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",875964000.0
7,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",475775000.0
8,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",392853923.0
9,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",384066907.0
10,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",373191353.0
11,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",346205000.0
12,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA                                                                   ,1607170,"NEW YORK, NY",307655888.0
13,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"SAN FRANCISCO, CA",282815000.0
14,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",279310185.0
15,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",228332000.0
16,BB&T CORPORATION                                                                                                        ,1074156,"WINSTON-SALEM, NC",227683000.0
17,"SUNTRUST BANKS, INC.                                                                                                    ",1131787,"ATLANTA, GA",220666913.0
18,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",197187000.0
19,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT, MI",180117000.0
20,MUFG AMERICAS HOLDINGS CORPORATION                                                                                      ,1378434,"NEW YORK, NY",170708224.0
21,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI, OH",167853328.0
22,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY                                                                          ,3840207,"BLOOMINGTON, IL",167779728.0
23,UNITED SERVICES AUTOMOBILE ASSOCIATION                                                                                  ,1447376,"SAN ANTONIO, TX",165315229.0
24,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE, RI",161724204.0
25,BMO FINANCIAL CORP.                                                                                                     ,1245415,"WILMINGTON, DE",157042743.0
26,BARCLAYS US LLC                                                                                                         ,5006575,"NEW YORK, NY",155685000.0
27,KEYCORP                                                                                                                 ,1068025,"CLEVELAND, OH",141953655.0
28,UBS AMERICAS HOLDING LLC                                                                                                ,4846998,"NEW YORK, NY",140371683.0
29,"SANTANDER HOLDINGS USA, INC.                                                                                            ",3981856,"BOSTON, MA",138959382.0
30,DB USA CORPORATION                                                                                                      ,2816906,"NEW YORK, NY",133145000.0
31,REGIONS FINANCIAL CORPORATION                                                                                           ,3242838,"BIRMINGHAM, AL",129089000.0
32,"CREDIT SUISSE HOLDINGS (USA), INC.                                                                                      ",1574834,"NEW YORK, NY",125613845.0
33,RBC US GROUP HOLDINGS LLC                                                                                               ,5280254,"TORONTO, CANADA                                  ",124014047.0
34,NORTHERN TRUST CORPORATION                                                                                              ,1199611,"CHICAGO, IL",121869424.0
35,"BNP PARIBAS USA, INC.                                                                                                   ",1575569,"NEW YORK, NY",120526439.0
36,M&T BANK CORPORATION                                                                                                    ,1037003,"BUFFALO, NY",120025205.0
37,DISCOVER FINANCIAL SERVICES                                                                                             ,3846375,"RIVERWOODS, IL",110720477.0
38,HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,1068191,"COLUMBUS, OH",108203287.0
39,SYNCHRONY FINANCIAL                                                                                                     ,4504654,"STAMFORD, CT",105384000.0
