RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
1,2162966,,MORGAN STANLEY,Financial Holding Company - Domestic,NEW YORK,NY
2,4440006,2162966,MS AC GP LTD.,International Nonbank Sub of Domestic Entities,GEORGE TOWN,CAYMAN ISLANDS                          
3,4440088,4440006,MS AC HOLDINGS L.P.,International Nonbank Sub of Domestic Entities,GEORGE TOWN,CAYMAN ISLANDS                          
4,4440033,4440006,MSCP V AC HOLDINGS L.P.,International Nonbank Sub of Domestic Entities,GEORGE TOWN,CAYMAN ISLANDS                          
5,4440088,4440033,MS AC HOLDINGS L.P.,International Nonbank Sub of Domestic Entities,GEORGE TOWN,CAYMAN ISLANDS                          
6,3932755,2162966,MORGAN STANLEY AMANU LLC,Domestic Entity Other,NEW YORK,NY
7,3955512,2162966,BAYFINE DE INC.,Domestic Entity Other,NEW YORK,NY
8,4053910,2162966,MORGAN STANLEY SECURED FINANCING LLC,Domestic Entity Other,NEW YORK,NY
9,5373192,2162966,MORGAN STANLEY HOLDINGS LLC,Domestic Entity Other,NEW YORK,NY
10,5389689,2162966,SOLIUM CAPITAL UK LIMITED,Data Processing Servicer,LONDON,UNITED KINGDOM  (OTHER)                 
11,5389791,5389689,SOLIUM TRUSTEE (UK) LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
12,5389803,5389689,SOLIUM TRUSTEE (JERSEY) LIMITED,International Nonbank Sub of Domestic Entities,ST. HELIER,JERSEY                                  
13,5389764,5389689,SOLIUM SHAREWORKS ESPANA S.L.,International Nonbank Sub of Domestic Entities,BARCELONA,SPAIN                                   
14,5389755,5389764,"SOLIUM SHAREWORKS GSP, SLU",Data Processing Servicer,BARCELONA,SPAIN                                   
15,5389698,2162966,SOLIUM CAPITAL (HONG KONG) LIMITED,International Nonbank Sub of Domestic Entities,HONG KONG,HONG KONG                               
16,5389700,2162966,SOLIUM CAPITAL ULC,Data Processing Servicer,NEW YORK,NY
17,5391730,5389700,MORGAN STANLEY WEALTH MANAGEMENT CANADA INC.,International Nonbank Sub of Domestic Entities,CALGARY,CANADA                                  
18,5389719,5389700,STOCKVANTAGE INC.,Data Processing Servicer,NEW YORK,NY
19,5389670,5389700,SOLIUM TRUST COMPANY,Domestic Entity Other,NEW YORK,NY
20,3423628,2162966,MORGAN STANLEY ASSET FUNDING INC.,Finance Company,NEW YORK,NY
21,5592199,3423628,LOAN AGGREGATOR TRUST 2,Domestic Entity Other,NEW YORK,NY
22,5592201,3423628,LOAN AGGREGATOR TRUST 3,Domestic Entity Other,NEW YORK,NY
23,5586992,3423628,LOAN AGGREGATOR TRUST 1,Domestic Entity Other,NEW YORK,NY
24,5389821,2162966,SOLIUM CAPITAL (AUSTRALIA) PTY LTD,Data Processing Servicer,SYDNEY,AUSTRALIA                               
25,5389830,5389821,SOLIUM NOMINEES (AUSTRALIA) PTY LTD.,International Nonbank Sub of Domestic Entities,SYDNEY,AUSTRALIA                               
