Event,EventDate,OtherInstitutionName,OtherInstitutionID,Notes
Acquisition,7/2/2021,"MIRROR MERGER SUB 2, LLC",5588697,"MIRROR MERGER SUB 2, LLC transferred its assets to one or more institutions including MORGAN STANLEY. "
Acquisition,12/29/2011,MSDW CREDIT PRODUCTS INC.,3946462,MSDW CREDIT PRODUCTS INC. transferred its assets to one or more institutions including MORGAN STANLEY. 
Institution Type Changed,9/23/2008,,,MORGAN STANLEY changed from Savings & Loan Holding Company to Financial Holding Company - Domestic.
Name Changed,6/20/2002,,,"MORGAN STANLEY, DEAN WITTER & CO. changed to the new name MORGAN STANLEY."
Name Changed,3/24/1998,,,"MORGAN STANLEY, DEAN WITTER, DISCOVER & CO. changed to the new name MORGAN STANLEY, DEAN WITTER & CO.."
Acquisition,5/31/1997,"MORGAN STANLEY GROUP, INC.",1931455,"MORGAN STANLEY GROUP, INC. transferred its assets to one or more institutions including DEAN WITTER, DISCOVER & CO.. "
Name Changed,5/31/1997,,,"DEAN WITTER, DISCOVER & CO. changed to the new name MORGAN STANLEY, DEAN WITTER, DISCOVER & CO.."
Address Changed,8/10/1996,,,"The address of DEAN WITTER, DISCOVER & CO. changed from No Address to 1585 BROADWAY ."
Institution Type Changed,8/10/1996,,,"DEAN WITTER, DISCOVER & CO. changed from Securities Broker/Dealer to Savings & Loan Holding Company."
Institution Established,1/1/1924,,,"DEAN WITTER, DISCOVER & CO. was established as a Securities Broker/Dealer at No Address,NEW YORK, NY."
