"Effective Date","Change Code","Change Code Description"
"1904-10-17T00:00:00","1","Institution established. Original name: Bank of America National Trust and Savings Association ()."
"1990-04-27T00:00:00","810","Acquired First Federal Savings and Loan Association (28119) in Bakersfield, CA."
"1990-04-27T00:00:00","810","Acquired The Guardian Federal Savings and Loan Association (32142) in Bakersfield, CA."
"1990-11-16T00:00:00","810","Acquired Southwest Federal Savings Association (32814) in Los Angeles, CA."
"1991-08-09T00:00:00","812","Acquired Santa Barbara Federal Savings and Loan Association (33044) in Santa Barbara, CA as part of a government assisted merger."
"1992-04-22T00:00:00","810","Acquired Security Pacific National Bank (3469) in Los Angeles, CA."
"1996-07-01T00:00:00","810","Acquired Bank of America Oregon (22911) in Portland, OR."
"1996-09-01T00:00:00","810","Acquired Bankamerica National Trust Company (24430) in New York City, NY."
"1997-01-01T00:00:00","810","Acquired Bank of America-Alaska, National Association (20209) in Anchorage, AK."
"1997-01-01T00:00:00","810","Acquired Bank of America New Mexico, National Association (33326) in Albuquerque, NM."
"1997-01-01T00:00:00","810","Acquired Bank of America, National Association (17300) in Las Vegas, NV."
"1997-01-01T00:00:00","810","Acquired Bank of America Arizona (32971) in Phoenix, AZ."
"1997-01-01T00:00:00","810","Acquired Bank of America NW, National Association (2970) in Seattle, WA."
"1997-07-01T00:00:00","810","Acquired Bank of America Trust Company of Florida, National Association (23691) in Boca Raton, FL."
"1997-07-01T00:00:00","810","Acquired Bank of America Illinois (3622) in Chicago, IL."
"1999-07-23T00:00:00","510","Changed Institution Name to Bank of America, National Association."
"1999-07-23T00:00:00","520","Main Office moved to 101 South Tryon Street, Charlotte, NC 28255."
"1999-07-23T00:00:00","810","Acquired Bank of America, National Association (15802) in Charlotte, NC."
"1999-07-26T00:00:00","712","Branch Purchased"
"1999-12-01T00:00:00","810","Acquired Bank of America Utah, National Association (9575) in Salt Lake City, UT."
"2001-05-31T00:00:00","810","Acquired NationsBank Trust Company of New York (33937) in New York, NY."
"2005-06-13T00:00:00","810","Acquired Fleet National Bank (2558) in Providence, RI."
"2006-09-22T00:00:00","810","Acquired MBNA America Delaware, National Association (34680) in Wilmington, DE."
"2006-09-22T00:00:00","712","Branch Purchased"
"2008-02-22T00:00:00","810","Acquired United States Trust Company , National Association (34061) in New York, NY."
"2008-06-30T00:00:00","810","Acquired Bank of America Georgia, National Association (57117) in Atlanta, GA."
"2008-10-17T00:00:00","810","Acquired LaSalle Bank National Association (15407) in Chicago, IL."
"2008-10-17T00:00:00","810","Acquired LaSalle Bank Midwest National  Association (22488) in Troy, MI."
"2009-01-16T00:00:00","830","Maintained operations with government open bank assistance."
"2009-04-27T00:00:00","810","Acquired Countrywide Bank, FSB (33143) in Centennial, CO."
"2009-07-01T00:00:00","810","Acquired Merrill Lynch Bank USA (27374) in Salt Lake City, UT."
"2009-11-02T00:00:00","810","Acquired Merrill Lynch Bank & Trust Co., FSB (34571) in New York, NY."
"2012-06-25T00:00:00","520","Main Office moved to 100 N Tryon St, Charlotte, NC 28202."
"2013-04-01T00:00:00","810","Acquired Bank of America Oregon, National Association (35453) in Portland, OR."
"2013-04-01T00:00:00","810","Acquired Bank of America, Rhode Island, National Association (58032) in Providence, RI."
"2014-10-01T00:00:00","810","Acquired FIA Card Services, National Association (33318) in Wilmington, DE."
"2020-03-31T00:00:00","810","Acquired Recontrust Company, National Association (58026) in Simi Valley, CA."
