"ACQDATE","ADDRESS","ADDRESS2","BKCLASS","CBSA","CBSA_DIV","CBSA_DIV_FLG","CBSA_DIV_NO","CBSA_METRO","CBSA_METRO_FLG","CBSA_METRO_NAME","CBSA_MICRO_FLG","CBSA_NO","CERT","CITY","COUNTY","CSA","CSA_FLG","CSA_NO","ESTYMD","FI_UNINUM","ID","LATITUDE","LONGITUDE","MAINOFF","MDI_STATUS_CODE","MDI_STATUS_DESC","NAME","OFFNAME","OFFNUM","RUNDATE","SERVTYPE","SERVTYPE_DESC","STALP","STCNTY","STNAME","UNINUM","ZIP"
"10/17/2008","4671 W Irving Park Rd","","N","Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Evanston, IL","1","16984","16980","1","Chicago-Naperville-Elgin, IL-IN-WI","0","16980","3510","Chicago","Cook","Chicago-Naperville, IL-IN-WI","1","176","06/14/1941",2238,"10056",41.95313098465704,-87.74538996058767,0,"","NULL","Bank of America, National Association","SIX CORNERS BRANCH",9042,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","IL","17031","Illinois",10056,"60641"
"06/13/2005","One Clinton Square","","N","Syracuse, NY","","0","","45060","1","Syracuse, NY","0","45060","3510","Syracuse","Onondaga","Syracuse-Auburn, NY","1","532","03/30/1849",2238,"10271",43.043405,-76.150491,0,"","NULL","Bank of America, National Association","CLINTON SQUARE BRANCH",7759,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","NY","36067","New York",10271,"13202"
"07/23/1999","205 N Parrott Ave","","N","Okeechobee, FL","","0","",0,"0",,"1","36380","3510","Okeechobee","Okeechobee","","0","","11/20/1943",2238,"10319",27.245514992273186,-80.83032202014249,0,"","NULL","Bank of America, National Association","MAIN OKEECHOBEE BRANCH",6011,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","FL","12093","Florida",10319,"34972"
"07/23/1999","2608 Pleasant Hill Rd","","N","Atlanta-Sandy Springs-Alpharetta, GA","","0","","12060","1","Atlanta-Sandy Springs-Alpharetta, GA","0","12060","3510","Duluth","Gwinnett","Atlanta-Athens-Clarke County-Sandy Springs, GA-AL","1","122","07/25/1984",2238,"10431",33.97050299400952,-84.14638103179,0,"","NULL","Bank of America, National Association","PLEASANT HILL BRANCH",4535,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","GA","13135","Georgia",10431,"30096"
"07/23/1999","7515 Greenville Ave","","N","Dallas-Fort Worth-Arlington, TX","Dallas-Plano-Irving, TX","1","19124","19100","1","Dallas-Fort Worth-Arlington, TX","0","19100","3510","Dallas","Dallas","Dallas-Fort Worth, TX-OK","1","206","02/15/1946",2238,"10554",32.883989993894474,-96.75988199038426,0,"","NULL","Bank of America, National Association","GREENVILLE AVENUE BRANCH",5217,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","TX","48113","Texas",10554,"75231"
"07/23/1999","2150 Harkrider St","","N","Little Rock-North Little Rock-Conway, AR","","0","","30780","1","Little Rock-North Little Rock-Conway, AR","0","30780","3510","Conway","Faulkner","Little Rock-North Little Rock, AR","1","340","05/18/1946",2238,"10596",35.10799892018922,-92.4401475733333,0,"","NULL","Bank of America, National Association","HARKRIDER NORTH BRANCH",5106,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","AR","05045","Arkansas",10596,"72032"
"10/17/2008","1160 Shermer Rd","","N","Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Evanston, IL","1","16984","16980","1","Chicago-Naperville-Elgin, IL-IN-WI","0","16980","3510","Northbrook","Cook","Chicago-Naperville, IL-IN-WI","1","176","06/08/1946",2238,"10604",42.13251350891919,-87.8220626167792,0,"","NULL","Bank of America, National Association","NORTHBROOK BRANCH",9038,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","IL","17031","Illinois",10604,"60062"
"07/23/1999","1313 Nw 36th St","","N","Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Miami Beach-Kendall, FL","1","33124","33100","1","Miami-Fort Lauderdale-Pompano Beach, FL","0","33100","3510","Miami","Miami-Dade","Miami-Port St. Lucie-Fort Lauderdale, FL","1","370","09/25/1946",2238,"10647",25.810004019089973,-80.21851500506443,0,"","NULL","Bank of America, National Association","ALLAPATTAH BRANCH",4455,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","FL","12086","Florida",10647,"33142"
"07/23/1999","700 8th Ave W","","N","North Port-Sarasota-Bradenton, FL","","0","","35840","1","North Port-Sarasota-Bradenton, FL","0","35840","3510","Palmetto","Manatee","North Port-Sarasota, FL","1","412","01/03/1947",2238,"10675",27.517908992021304,-82.57258198343803,0,"","NULL","Bank of America, National Association","DOWNTOWN PALMETTO BRANCH",4334,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","FL","12081","Florida",10675,"34221"
"07/23/1999","1011 Federal Rd","","N","Houston-The Woodlands-Sugar Land, TX","","0","","26420","1","Houston-The Woodlands-Sugar Land, TX","0","26420","3510","Houston","Harris","Houston-The Woodlands, TX","1","288","10/22/1947",2238,"10777",29.772079987345307,-95.21404396519719,0,"","NULL","Bank of America, National Association","EAST HOUSTON BRANCH",5283,"12/13/2024",11,"FULL SERVICE - BRICK AND MORTAR","TX","48201","Texas",10777,"77015"
