Bureau of Justice Statistics,,,,,,,,
Filename: ricocfc1222at01.csv,,,,,,,,
"Appendix table 1. Counts for figure 1: Number of RICO investigations concluded by U.S. attorneys and persons investigated, FY 2012–2022",,,,,,,,
"Report title: Racketeer Influenced and Corrupt Organizations (RICO) Cases in Federal Courts, 2012–2022  NCJ 308952",,,,,,,,
"Data source: Bureau of Justice Statistics, based on data from the Executive Office for U.S. Attorneys, National Legal Information Office Network System (LIONS) database, fiscal years 2012–2022",,,,,,,,
"Authors: Suzanne M. Strong, PhD, and Mark Motivans, PhD, BJS Statisticians",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 9/5/24,,,,,,,,
,,,,,,,,
"Appendix table 1. Counts for figure 1: Number of RICO investigations concluded by U.S. attorneys and persons investigated, FY 2012–2022",,,,,,,,
,,,,Persons per investigation concluded,,,,
Fiscal year,,RICO investigations concluded,Persons investigated,One person,,Multiple persons,,Average number of persons investigated
,Total (2012–2022),"1,131","4,698",59.2,,40.8,%,4.2
2012,,128,441,64.8,%,35.2,%,3.4
2013,,92,440,54.3,,45.7,,4.8
2014,,95,569,49.5,,50.5,,6
2015,,77,393,51.9,,48.1,,5.1
2016,,104,584,50,,50,,5.6
2017,,116,531,62.1,,37.9,,4.6
2018,,111,384,62.2,,37.8,,3.5
2019,,123,416,64.2,,35.8,,3.4
2020,,106,297,66,,34,,2.8
2021,,92,348,59.8,,40.2,,3.8
2022,,87,295,59.8,,40.2,,3.4
"Note: Includes persons in matters who were charged under Title 18 U.S.C. §§ 1961–1968. The lead charge is the primary basis for referring the matter to a U.S. attorney and is usually, but not always, the charge with the greatest possible sentence. RICO denotes Racketeer Influenced and Corrupt Organizations Act.",,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Executive Office for U.S. Attorneys, National Legal Information Office Network (LIONS) database, fiscal years 2012–2022.",,,,,,,,
