Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: ricocfc1222at02.csv,,,,,,,,,,,,,
"Appendix table 2. Counts for Map 1: Rate of RICO defendants convicted per 1,000 total defendants convicted, by state or territory, FY 2018–2022",,,,,,,,,,,,,
"Report title: Racketeer Influenced and Corrupt Organizations (RICO) Cases in Federal Courts, 2012–2022  NCJ 308952",,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, based on data from the Administrative Office of the U.S. Courts, Criminal Master File, fiscal years 2018–2022",,,,,,,,,,,,,
"Authors: Suzanne M. Strong, PhD, and Mark Motivans, PhD, BJS Statisticians",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,
Date of version: 9/5/24,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Appendix table 2. Counts for Map 1: Rate of RICO defendants convicted per 1,000 total defendants convicted, by state or territory, FY 2018–2022",,,,,,,,,,,,,
State,Total number of defendants convicted,Number of defendants convicted under RICO,"Rates of defendants convicted under RICO per 1,000 total convictions",,,,,,,,,,
Alabama,"4,827",0,0.0,,,,,,,,,,
Alaska,782,0,0.0,,,,,,,,,,
Arizona,"23,849",5,0.2,,,,,,,,,,
Arkansas,"3,700",2,0.5,,,,,,,,,,
California,"30,480",151,5.0,,,,,,,,,,
Colorado,"2,200",0,0.0,,,,,,,,,,
Connecticut,"1,707",18,10.5,,,,,,,,,,
Delaware,428,0,0.0,,,,,,,,,,
District of Columbia,"1,423",2,1.4,,,,,,,,,,
Florida,"16,142",8,0.5,,,,,,,,,,
Georgia,"7,090",52,7.3,,,,,,,,,,
Guam,264,0,0.0,,,,,,,,,,
Hawaii,766,0,0.0,,,,,,,,,,
Idaho,"1,676",4,2.4,,,,,,,,,,
Illinois,"5,735",47,8.2,,,,,,,,,,
Indiana,"4,113",68,16.5,,,,,,,,,,
Iowa,"4,187",2,0.5,,,,,,,,,,
Kansas,"2,219",0,0.0,,,,,,,,,,
Kentucky,"4,074",14,3.4,,,,,,,,,,
Louisiana,"3,485",6,1.7,,,,,,,,,,
Maine,868,0,0.0,,,,,,,,,,
Maryland,"3,722",167,44.9,,,,,,,,,,
Massachusetts,"2,324",101,43.5,,,,,,,,,,
Michigan,"5,190",62,11.9,,,,,,,,,,
Minnesota,"1,601",0,0.0,,,,,,,,,,
Mississippi,"2,503",4,1.6,,,,,,,,,,
Missouri,"8,601",8,0.9,,,,,,,,,,
Montana,"1,718",0,0.0,,,,,,,,,,
Nebraska,"2,376",1,0.4,,,,,,,,,,
Nevada,"1,980",19,9.6,,,,,,,,,,
New Hampshire,953,0,0.0,,,,,,,,,,
New Jersey,"3,205",3,0.9,,,,,,,,,,
New Mexico,"14,816",11,0.7,,,,,,,,,,
New York,"12,864",252,19.6,,,,,,,,,,
North Carolina,"9,796",67,6.8,,,,,,,,,,
North Dakota,"1,591",0,0.0,,,,,,,,,,
Ohio,"7,197",25,3.5,,,,,,,,,,
Oklahoma,"4,213",1,0.2,,,,,,,,,,
Oregon,"2,166",6,2.8,,,,,,,,,,
Pennsylvania,"7,302",14,1.9,,,,,,,,,,
Puerto Rico,"4,716",70,14.8,,,,,,,,,,
Rhode Island,523,3,5.7,,,,,,,,,,
South Carolina,"3,837",26,6.8,,,,,,,,,,
South Dakota,"2,618",0,0.0,,,,,,,,,,
Tennessee,"6,911",19,2.7,,,,,,,,,,
Texas,"86,906",90,1.0,,,,,,,,,,
U.S. Virgin Islands,284,0,0.0,,,,,,,,,,
Utah,"3,465",0,0.0,,,,,,,,,,
Vermont,751,0,0.0,,,,,,,,,,
Virginia,"6,459",24,3.7,,,,,,,,,,
Washington,"3,951",0,0.0,,,,,,,,,,
West Virginia,"2,700",1,0.4,,,,,,,,,,
Wisconsin,"2,156",4,1.9,,,,,,,,,,
Wyoming,948,0,0.0,,,,,,,,,,
"Note: The rate is computed as the number of persons convicted in U.S. district court with Title 18 U.S.C. §§ 1961–1968 as the most serious offense at conviction divided by the total number of persons convicted in U.S. district court by state and multiplied by 1,000. RICO denotes Racketeer Influenced and Corrupt Organizations Act.",,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Administrative Office of the U.S. Courts, Criminal Master File, fiscal years 2018–2022.",,,,,,,,,,,,,
