Bureau of Justice Statistics,,,,
Filename: ricocfc1222t03.csv,,,,
"Table 3. Persons convicted in federal court with a RICO violation as the most serious offense, by selected characteristics, FY 2018–2022",,,,
"Report title: Racketeer Influenced and Corrupt Organizations (RICO) Cases in Federal Courts, 2012–2022  NCJ 308952",,,,
"Data source: Bureau of Justice Statistics, based on data from the Administrative Office of the U.S. Courts, Criminal Master File, and Probation and Pretrial Services Automated Case Tracking System; and U.S. Sentencing Commission, individual offender data file, fiscal years 2018–2022",,,,
"Authors: Suzanne M. Strong, PhD, and Mark Motivans, PhD, BJS Statisticians",,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,
Date of version: 9/5/24,,,,
,,,,
"Table 3. Persons convicted in federal court with a RICO violation as the most serious offense, by selected characteristics, FY 2018–2022",,,,
Characteristics,,Number,Percent,
,Total,"1,357",100,%
Sex,,,,
,Male,"1,150",91.9,%
,Female,101,8.1,
Race/ethnicity,,,,
,White/a,201,16.1,%
,Black/a,538,43.2,
,Hispanic,487,39.1,
,Other/b,19,1.5,
Age,,,,
,24 or younger,193,15.4,%
,25–29,304,24.3,
,30–34,216,17.3,
,35–39,191,15.3,
,40–44,143,11.4,
,45–49,86,6.9,
,50–54,50,4,
,55–59,27,2.2,
,60–64,21,1.7,
,65 or older,20,1.6,
,Median age,33,yrs.,
Citizenship,,,,
,U.S. citizen,"1,077",86.3,%
,Non-U.S. citizen,171,13.7,
Education,,,,
,Less than high school,502,40.8,%
,High school graduate,482,39.2,
,Some college,174,14.2,
,College graduate,71,5.8,
Prior record,,,,
,No prior adult convictions,367,29.3,%
,Prior adult convictions,886,70.7,
"Note: Details may not sum to totals due to rounding. The unit of count is a person in a case adjudicated with a conviction in U.S. district court. Persons charged in more than one case are counted separately. There were 106 records missing sex, 112 missing race or ethnicity, 106 missing age, 109 missing citizenship status, 128 missing education, and 104 missing prior adult convictions. RICO denotes Racketeer Influenced and Corrupt Organizations Act.",,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons). Race and ethnicity were self-reported during the pretrial interview. Information was collected for one race and one ethnicity category.",,,,
b/Includes Asian/Native Hawaiian/Other Pacific Islander and American Indian/Alaska Native. Excludes persons of Hispanic origin.,,,,
"Source: Bureau of Justice Statistics, based on data from the Administrative Office of the U.S. Courts, Criminal Master File, and Probation and Pretrial Services Automated Case Tracking System; and U.S. Sentencing Commission, individual offender data file, fiscal years 2018–2022.",,,,
