Bureau of Justice Statistics,,,,
Filename: ricocfc1222t05.csv,,,,
"Table 5. Persons convicted in federal court with RICO as a secondary offense, by most serious offense, FY 2018–2022",,,,
"Report title: Racketeer Influenced and Corrupt Organizations (RICO) Cases in Federal Courts, 2012–2022  NCJ 308952",,,,
"Data source: Bureau of Justice Statistics, based on data from the Administrative Office of the U.S. Courts, Criminal Master File, fiscal years 2018–2022",,,,
"Authors: Suzanne M. Strong, PhD, and Mark Motivans, PhD, BJS Statisticians",,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,
Date of version: 9/5/24,,,,
,,,,
"Table 5. Persons convicted in federal court with RICO as a secondary offense, by most serious offense, FY 2018–2022",,,,
Most serious offense when RICO is secondary charge,,Number,Percent,
,Total,"1,099",100,%
Violent,,22,2.0,%
,Assault,3,0.3,
,Robbery,10,0.9,
,Sexual abuse,7,0.6,
,Kidnapping,2,0.2,
Property,,90,8.2,%
,Embezzlement,1,0.1,
,Fraud,75,6.8,
,Larceny-felony,1,0.1,
,Arson and explosives,13,1.2,
Drug trafficking,,537,48.9,%
Public order,,208,18.9,%
,Food and drug,1,0.1,
,Civil rights,5,0.5,
,Other regulatory felonies,7,0.6,
,Perjury-contempt/intimidation,10,0.9,
,Escape,2,0.2,
,Racketeering/extortion,156,14.2,
,Gambling,24,2.2,
,Other misdemeanor,3,0.3,
Weapons,,242,22.0,%
Note: Details may not sum to totals due to rounding. The unit of count is a person in a case adjudicated with a conviction in U.S. district court. Persons charged in more than one case are counted separately. RICO denotes Racketeer Influenced and Corrupt Organizations Act.,,,,
"Source: Bureau of Justice Statistics, based on data from the Administrative Office of the U.S. Courts, Criminal Master File, fiscal years 2018–2022.",,,,
