RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
1,1073757,,BANK OF AMERICA CORPORATION,Financial Holding Company - Domestic,CHARLOTTE,NC
2,2684598,1073757,BANC OF AMERICA MORTGAGE CAPITAL CORPORATION,Domestic Entity Other,CHARLOTTE,NC
3,1110876,1073757,INDIAN HEAD BANKS INC.,Domestic Entity Other,CHARLOTTE,NC
4,3658868,1073757,BAC CAPITAL TRUST XIV,Domestic Entity Other,CHARLOTTE,NC
5,3658813,1073757,BAC CAPITAL TRUST XIII,Domestic Entity Other,CHARLOTTE,NC
6,5166282,1073757,BOFA FINANCE LLC,Domestic Entity Other,CHARLOTTE,NC
7,3658895,1073757,BAC CAPITAL TRUST XV,Domestic Entity Other,CHARLOTTE,NC
8,3882195,1073757,MERRILL LYNCH BENCHMARK HOLDINGS LLC,Domestic Entity Other,NEW YORK,NY
9,2907354,1073757,BAS CAPITAL FUNDING CORPORATION,Domestic Entity Other,CHARLOTTE,NC
10,2717085,2907354,"NMS CAPITAL, L.P.",Finance Company,CHICAGO,IL
11,3811627,1073757,"LSMFI, LLC",Domestic Entity Other,SAN FRANCISCO,CA
12,3289422,1073757,ASIA INVESTMENT CONSULTING LTD.,International Nonbank Sub of Domestic Entities,GEORGE TOWN,CAYMAN ISLANDS                          
13,1026034,1073757,"BANKAMERICA REALTY SERVICES, INC.",Domestic Entity Other,SAN FRANCISCO,CA
14,2549857,1073757,COUNTRYWIDE FINANCIAL CORPORATION,Domestic Entity Other,CALABASAS,CA
15,3388969,2549857,"CWHEQ, INC.",Domestic Entity Other,CALABASAS,CA
16,3388978,2549857,"CWALT, INC",Domestic Entity Other,CALABASAS,CA
17,3100451,2549857,"CWIBH, INC.",Domestic Entity Other,CALABASAS,CA
18,3033184,2549857,"CWMBS, INC.",Domestic Entity Other,CALABASAS,CA
19,3033205,2549857,CW REINSURANCE COMPANY,Domestic Entity Other,BURLINGTON,VT
20,3033157,2549857,"CW SECURITIES HOLDINGS, INC.",Domestic Entity Other,CALABASAS,CA
21,3267484,3033157,"COUNTRYWIDE COMMERCIAL REAL ESTATE FINANCE, INC.",Domestic Entity Other,CALABASAS,CA
22,3033166,2549857,"CWABS, INC.",Domestic Entity Other,CALABASAS,CA
23,1644643,2549857,"COUNTRYWIDE HOME LOANS, INC.",Domestic Entity Other,CALABASAS,CA
24,2173092,1073757,NB HOLDINGS CORPORATION,Financial Holding Company - Domestic,CHARLOTTE,NC
25,2907288,2173092,"PRLAP, INC. (TENNESSEE CORPORATION)",Domestic Entity Other,KNOXVILLE,TN
26,3867802,2173092,"MERRILL LYNCH CAPITAL SERVICES, INC.",Domestic Entity Other,NEW YORK,NY
27,5335770,3867802,IMOLA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO - INVESTIMENTO NO EXTERIOR,International Nonbank Sub of Domestic Entities,SAO PAULO,BRAZIL                                  
28,3912832,5335770,FUNDO DE INVESTIMENTO MULTIMERCADO AGATA - CREDITO PRIVADO - INVESTIMENTOS NO EXTERIOR,International Nonbank Sub of Domestic Entities,SAO PAULO,BRAZIL                                  
29,4453314,3912832,OPALA CAPITAL FUND LTD.,International Nonbank Sub of Domestic Entities,GEORGE TOWN,CAYMAN ISLANDS                          
