NAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,COUNTYCODE,COUNTYNAME,PHONE,EMPRANGE,EMPRANGECODE,NAICS,OWNERSHIP
1ST BANK - DIVISION GLACIER BANK,120 N STATE,,MORGAN,UT,84050,29,Morgan,,10-19,D,522110,Private
1ST BANK - DIVISION OF GLACIER BANK,5015 W OLD HWY RD,,MOUNTAIN GREEN,UT,84054,29,Morgan,,5-9,C,522110,Private
7-ELEVEN,404 E 300 N STATE ST,,MORGAN,UT,84050,29,Morgan,,10-19,D,447110,Private
A-DEC INCORPORATED,33 SCOTT DR,,MORGAN,UT,840509567,29,Morgan,(503) 537-2860,0,A,423450,Private
ACCESSIBLE SYSTEMS OF UTAH LLC,669 NORTH 1000 WEST,,CENTERVILLE,UT,84014,29,Morgan,(303) 693-7787,5-9,C,446199,Private
"ADVISORPEAK, INC.",1565 W HILL FIELD RD STE 103,,LAYTON,UT,840417316,29,Morgan,(801) 295-9192,10-19,D,541511,Private
ADVOKE MEDIA INC.,318 E 300 N,,MORGAN,UT,84050,29,Morgan,(510) 367-5565,1-4,B,541810,Private
ADZ N ENZ INC,3929 N SUMMER RIDGE RD,,MORGAN,UT,84050,29,Morgan,(435) 444-9596,1-4,B,425120,Private
"ALPINE CONCRETE PUMPING, L.L.C.",777 S DEEP CREEK CIR,,MORGAN,UT,840509928,29,Morgan,(801) 845-8530,5-9,C,238111,Private
AMERICAN EXPRESS TRAVEL RELATED SER,338 S HOUND ST,,MORGAN,UT,84050,29,Morgan,,1-4,B,561510,Private
"ANDERSEN COUNSELING , INC",251 HOUND ST,,MORGAN,UT,840509549,29,Morgan,(801) 920-6352,1-4,B,624190,Private
ANDREA LANTZ,5858 WASATCH DR,,MOUNTAIN GREEN,UT,840509767,29,Morgan,(763) 450-3781,5-9,C,624120,Private
"ASPEN RIDGE REMODELING, LLC",,,,,,29,Morgan,(801) 381-3861,1-4,B,236118,Private
"ATOMORTGAGE, LLC",209 N STATE ST STE B,,MORGAN,UT,840509569,29,Morgan,(801) 821-4420,1-4,B,522310,Private
"AVEREST, INC.",5868 BELMONT DR,,MOUNTAIN GREEN,UT,840506720,29,Morgan,(404) 254-6172,1-4,B,423610,Private
BARR PHOTOGRAPHY LLC,755 HARDSCRABBLE RD,,MORGAN,UT,840509435,29,Morgan,(801) 829-8197,0,A,541922,Private
BARTS MACHINE SHOP INC,261 N  COMMERCIAL ST,500 EAST,MORGAN,UT,840509515,29,Morgan,(801) 829-3021,1-4,B,332710,Private
BASICS INC,30 N STATE ST,,MORGAN,UT,840509249,29,Morgan,(801) 829-3697,1-4,B,561110,Private
BEARNSON WOODWORKS LLC,4181 W 5800 N,,MORGAN,UT,840508502,29,Morgan,(801) 845-1329,1-4,B,337110,Private
BEAUTY EQUIPMENT INC,47 S SCOTT CIR,,MORGAN,UT,84050,29,Morgan,(801) 829-3040,1-4,B,423850,Private
"BEEHIVE BUILDINGS HOLDINGS, INC.",2985 W OLD HIGHWAY RD,,MORGAN,UT,840509306,29,Morgan,(801) 710-6711,10-19,D,236115,Private
BENNETT'S BUCKERS,795 W OLD HIGHWAY RD,,MORGAN,UT,840509803,29,Morgan,(435) 750-5566,0,A,541690,Private
BINGHAMS CUSTOM MEATS LLC,371 E 300 N,,MORGAN,UT,84050,29,Morgan,(801) 814-6700,20-49,E,445210,Private
BIOFRONTERA INC.,4808 W RANCH BLVD,,MOUNTAIN GREEN,UT,840505519,29,Morgan,(781) 245-1325,1-4,B,424210,Private
BOARD OF EDUCATION,230 E YOUNG,,MORGAN,UT,84050,29,Morgan,,10-19,D,611110,Local
"BPL ELECTRIC, LLC",,,,,,29,Morgan,(801) 821-3747,1-4,B,238211,Private
BRANDON T FLITTON DO PC,5965 ROLLINS RANCH RD,,MORGAN,UT,840506764,29,Morgan,(801) 726-5294,0,A,621111,Private
"BRETT J. EARL, M.D., P.C.",STE C202,415 MEDICAL DR,BOUNTIFUL,UT,840104978,29,Morgan,(801) 829-0620,5-9,C,621111,Private
"BRIARWOOD BUILDERS, LLC",,,,,,29,Morgan,(801) 573-8938,0,A,236115,Private
BRICK WALL MASONRY INC,1210 S HIGHWAY 66,,MORGAN,UT,84050,29,Morgan,(801) 845-8478,1-4,B,238141,Private
"BROOKS BROTHERS LAWN CARE, LLC",,,,,,29,Morgan,(801) 791-8281,5-9,C,561730,Private
BROWNING,1 BROWNING PLACE,,MORGAN,UT,840509326,29,Morgan,(801) 876-2711,100-249,G,423910,Private
BROWNING ARMS COMPANY,ONE BROWNING PLACE,,MORGAN,UT,84050,29,Morgan,(801) 876-2711,20-49,E,541330,Private
BUILDING TRANSITIONS LLC,4274 BLUE JAY CIR,,MOUNTAIN GREEN,UT,840509757,29,Morgan,(801) 698-9645,1-4,B,236115,Private
BUZZ GRAPHICS INC,142 W 3175 S,,OGDEN,UT,844012916,29,Morgan,(801) 399-2899,5-9,C,541870,Private
CAMBRIA GIBSON,3677 W 3725 N,,MORGAN,UT,840509888,29,Morgan,(801) 359-4699,0,A,624120,Private
"CANYON COLLISION REPAIR, INC.",,,,,,29,Morgan,(801) 728-7070,1-4,B,423120,Private
CARE CORE NATIONAL LLC,3546 BLUE SAGE RD,,MORGAN,UT,840509314,29,Morgan,(800) 918-8924,5-9,C,561110,Private
CAREEN BARRETT-STONE AG INC.,234 W 200 S,,MORGAN,UT,840509472,29,Morgan,(314) 809-2405,1-4,B,541720,Private
"CARTER SCIENTIFIC SOLUTIONS, INC.",,,,,,29,Morgan,(509) 432-3240,1-4,B,541611,Private
CBT MANAGEMENT INC.,5938 STAMPEDE LN,,MOUNTAIN GREEN,UT,840505512,29,Morgan,(801) 755-5672,0,A,541611,Private
CENTER POINT CONSTUCTION COMPANY IN,1220 S HIGHWAY 66,,MORGAN,UT,840509849,29,Morgan,(801) 330-5855,0,A,236115,Private
"CERADYNE, INC.",4181 W 5800 N,,MOUNTAIN GREEN,UT,840508502,29,Morgan,(714) 549-0421,1-4,B,339113,Private
"CHAD CROWTHER, D.O., P.C.",,,,,,29,Morgan,(520) 343-8464,1-4,B,621111,Private
CHENTELLE KIPPEN,1962 N 7000 E,,CROYDON,UT,840189717,29,Morgan,(763) 450-3781,1-4,B,624120,Private
CJM ENTERPRISES INC,,,,,,29,Morgan,(801) 645-3536,1-4,B,541611,Private
CLARK FAMILY DAIRY INC,550 N INDUSTRIAL RD,,MORGAN,UT,840509521,29,Morgan,(801) 829-0679,10-19,D,112120,Private
CLARK WEST PLUMBING INC,,,,,,29,Morgan,(801) 876-3377,1-4,B,238221,Private
CLARKE MARKETING LLC,6222 WILLOW CREEK RD,,MORGAN,UT,840506744,29,Morgan,(801) 600-1004,1-4,B,454390,Private
"CLEVER CUTIE, LLC",,,,,,29,Morgan,(801) 540-6125,0,A,454390,Private
"COLDSWEEP, INC.",4070 W. 5800 N.,,MOUNTAIN GREEN,UT,840509349,29,Morgan,(801) 876-5432,1-4,B,561790,Private
COMPLETE SHOOTER L.L.C.,3580 BLUE SAGE RD,,MORGAN,UT,840509314,29,Morgan,(801) 814-1026,0,A,611620,Private
"CONFLUENCE CONSULTING, LLC",,,,,,29,Morgan,(801) 926-1177,1-4,B,541613,Private
CONSTRUCTION 360 SERVICES LLC,5577 DAY LILY DR,,MOUNTAIN GREEN,UT,840509375,29,Morgan,(801) 695-8897,10-19,D,238312,Private
CONTRACT MARKETING LLC,4090 W 5800 N UNIT 6,,MORGAN,UT,84050,29,Morgan,(801) 294-3155,5-9,C,811420,Private
CORREIATECH INC.,5942 EXETER DR,,MOUNTAIN GREEN,UT,840504900,29,Morgan,(801) 725-9960,1-4,B,711510,Private
COTTONWOOD MUTUAL WATER COMPANY,4000 W OLD HIGHWAY RD,,MORGAN,UT,840509750,29,Morgan,(801) 876-3895,1-4,B,221310,Private
COTTONWOODS AT MOUNTAIN GREEN MASTE,,,,,,29,Morgan,(801) 821-4009,1-4,B,813990,Private
CURTIS NEWSOM,,,,,,29,Morgan,(801) 864-4718,1-4,B,561730,Private
"D AND D CONCRETE, INC.",5449 MOUNTAIN VIEW DR,,MORGAN,UT,840509879,29,Morgan,(801) 644-3436,1-4,B,236115,Private
"D J MINK, INC.",634 N MORGAN VALLEY DR,,MORGAN,UT,840509633,29,Morgan,(801) 710-0505,1-4,B,316110,Private
D.G. PURSER CONSTRUCTION & LANDSCAP,5576 PARK VIEW DR,,MOUNTAIN GREEN,UT,840509318,29,Morgan,(801) 876-2035,1-4,B,237130,Private
"DAVES EXPRESS ELECTRIC, INC.",,,,,,29,Morgan,(801) 644-2045,1-4,B,238211,Private
DAVID DOCKSTADER,1958 N 6900 E,,CROYDON,UT,840189707,29,Morgan,(801) 791-3264,1-4,B,814110,Private
DAVID W JACKSON STUDIO,5766 SIERRA DRIVE,,MOUNTAIN GREEN,UT,84050,29,Morgan,(801) 876-2031,1-4,B,711510,Private
DAVIS ACCOUNTING INC.,6338 DAVIS ST,,MORGAN,UT,840509790,29,Morgan,(801) 725-5011,1-4,B,541990,Private
DAYTON ANESTHESIA PLLC,5866 CAMBRIDGE DR,,MORGAN,UT,840506773,29,Morgan,(801) 726-6810,1-4,B,621111,Private
