IDENTIFIER SYSTEM	IDENTIFIER		CATEGORIES		
US Texas TIN	        32065175617		Tax		details
LEI	                213800F1BB4S4H554W68			details
GB VAT Number	        417137706		Tax		details





OC identifier system code	Name	Title	Website	Identifying authority name	Identifying authority website	Categories
us_fein	US Federal EIN/TIN number	US Federal Employee Identification Number	http://www.irs.gov/businesses/small/article/0,,id=98350,00.html	US Internal Revenue Service	http://www.irs.gov/	Tax
bo_tin	Bolivia NIT	Bolivia Tax Identification Number (Número de Identificación Tributaria – NIT)		Servicio de Impuestos Nacionales, Bolivia		Tax
gr_tin	Greece TIN	Tax Identification Number (Αριθμός Φορολογικού Μητρώου – AΦΜ)	https://ec.europa.eu/taxation_customs/tin/pdf/en/TIN_-_country_sheet_EL_en.pdf	General Secretariat for Information Systems of the Ministry of Finance (Γενικής Γραμματείας Πληροφοριακών Συστημάτων του Υπουργείου)	http://www.gsis.gr/gsis/info/gsis_site/index.html	Tax
kh_tin	Cambodia TIN	Tax Identification Number (លេខអត្តសញ្ញាណកម្មសារពើពន្ធ)	http://www.tax.gov.kh/	General Department of Taxation, Ministry of Economy and Finance (អគ្គនាយកដ្ឋានពន្ធដារ នៃក្រសួងសេដ្ឋកិច្ច និងហិរញ្ញវត្)	http://www.tax.gov.kh/	Tax
me_tin	Montenegro TIN	Montenegro Tax Identification Number (Poreski identifikacioni broj – PIB)	http://www.crps.me/	Central Registry of Business Entities of Montenegro (Centralni registar privrednih subjekata Crne Gore)	http://www.crps.me/	Tax
ru_tin	Russia INN	Taxpayer Personal Identification Number – INN (Идентификационный номер налогоплательщика – ИНН)	https://www.nalog.ru/eng/exchinf/inn/	Federal Tax Service of Russia (Федеральная налоговавя служба)	https://www.nalog.ru/	Tax
tj_tin	Tajikistan TIN	Tajikistan Taxpayer Identification Number (Идентификационный номер налогоплательщика – ИНН)	http://www.andoz.tj/index.php/ru/component/content/article/64-onlajn-konsultant/117-onlajn-pomoshchnik-inn-ein-kpp	Tax Committee under the Government of the Republic of Tajikistan (Кумитаи андози назди Ҳукумати Ҷумҳурии Тоҷикистон)	http://www.andoz.tj/	Tax
us_tx_tin	US Texas TIN	US Texas Taxpayer Identification Number	https://fmx.cpa.texas.gov/fmx/pubs/tins/tinsguide/ch2/index.php	Texas Comptroller of Public Accounts	http://comptroller.texas.gov/	Tax
vn_tin	Vietnam TIN	Vietnam Enterprise Code Number		Viet Nam General Department of Taxation (Tổng cục thuế)	http://gdt.gov.vn/	Tax,Business
eu_vat	EU Vat Number	EU VAT System	http://ec.europa.eu/taxation_customs/vies/			Tax
us_cage	US Federal CAGE number	US Federal ‘Commercial And Government Entity’ Register	http://www.dlis.dla.mil/cage_welcome.asp	US Defense Logistics Agency	http://www.dlis.dla.mil/	Procurement
us_sec_cik	SEC CIK number	US Securities And Exchange Commission CIK number	http://www.sec.gov/edgar/searchedgar/cik.htm	US Securities & Exchange Commission	http://www.sec.gov/	
uk_ew_cc	England & Wales Charity Number	Charity Register for England & Wales		Charity Commission for England & Wales	http://www.charitycommission.gov.uk/	Charity
uk_ni_cc	Northern Ireland Charity Number	The Charity Register for Northern Ireland		The Charity Commission for Northern Ireland	http://www.charitycommissionni.org.uk/	Charity
uk_sc_cc	Scotland Charity Number	Charity Register for Scotland		Office of the Scottish Charity Regulator	http://www.oscr.org.uk/	Charity
